uuid,provider,date,max_accuracy,model_name,constraint,best_params,loops_in_model,best_model_duration,all_duration,cost,accuracy,precision,recall,f1
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.574712644,dt,18,depth = 10 and min_smaple = 50,0,0.090166,0.5538382,414,0.482758621,0.777777778,0.254545455,0.383561644
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.804597701,dt,38,depth = 10 and min_smaple = 50,0,0.0930123,0.5739352,247,0.643678161,0.815789474,0.563636364,0.666666667
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.574712644,rf,18,depth = 3 and min_smaple = 5,0,0.5997401,8.6562721,403,0.505747126,0.833333333,0.272727273,0.410958904
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.804597701,rf,38,depth = 3 and min_smaple = 15,0,0.5667997,8.5350292,214,0.712643678,0.894736842,0.618181818,0.731182796
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.574712644,cs,18,depth = 3 and min_smaple = 5,0,0.0271895,0.2449303,425,0.459770115,0.722222222,0.236363636,0.356164384
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.804597701,cs,38,depth = 3 and min_smaple = 5,0,0.0259861,0.239145,324,0.482758621,0.631578947,0.436363636,0.516129032
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.574712644,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,31,99.8598901,1055.822477,370,0.574712644,1,0.327272727,0.493150685
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.804597701,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,20,62.7611218,624.3504353,247,0.643678161,0.815789474,0.563636364,0.666666667
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.574712644,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,3,10.1058463,103.2088692,403,0.505747126,0.833333333,0.272727273,0.410958904
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,25/07/2023,0.804597701,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,1,3.2280006,29.8180752,247,0.643678161,0.815789474,0.563636364,0.666666667
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.574712644,dt,18,depth = 10 and min_smaple = 15,0,0.1043161,0.567052,381,0.551724138,0.944444444,0.309090909,0.465753425
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.804597701,dt,38,depth = 10 and min_smaple = 15,0,0.1021181,0.5652856,225,0.689655172,0.868421053,0.6,0.709677419
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.574712644,rf,18,depth = 3 and min_smaple = 5,0,0.5821442,8.6934014,370,0.574712644,1,0.327272727,0.493150685
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.804597701,rf,38,depth = 3 and min_smaple = 5,0,0.5815726,9.7070919,214,0.712643678,0.894736842,0.618181818,0.731182796
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.574712644,cs,18,depth = 3 and min_smaple = 5,0,0.0262579,0.2327088,447,0.413793103,0.611111111,0.2,0.301369863
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.804597701,cs,38,depth = 3 and min_smaple = 5,0,0.0253519,0.2311453,357,0.413793103,0.552631579,0.381818182,0.451612903
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.574712644,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,31,101.7121411,1021.490441,392,0.528735632,0.888888889,0.290909091,0.438356164
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.804597701,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,22,69.1845892,688.3992887,258,0.620689655,0.789473684,0.545454545,0.64516129
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.574712644,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,3,10.5515167,105.3513722,425,0.459770115,0.722222222,0.236363636,0.356164384
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,26/07/2023,0.804597701,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,2,7.0671407,71.851399,247,0.643678161,0.815789474,0.563636364,0.666666667
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.597701149,dt,18,depth = 10 and min_smaple = 15,0,0.103154,0.5632774,383,0.528735632,0.833333333,0.283018868,0.422535211
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.827586207,dt,38,depth = 10 and min_smaple = 15,0,0.102758,0.5638797,205,0.712643678,0.868421053,0.622641509,0.725274725
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.597701149,rf,18,depth = 3 and min_smaple = 5,0,0.570435,8.5456732,361,0.574712644,0.944444444,0.320754717,0.478873239
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.827586207,rf,38,depth = 3 and min_smaple = 5,0,0.5965209,8.5720678,194,0.735632184,0.894736842,0.641509434,0.747252747
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.597701149,cs,18,depth = 3 and min_smaple = 5,0,0.0254985,0.2427283,416,0.459770115,0.666666667,0.226415094,0.338028169
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.827586207,cs,38,depth = 3 and min_smaple = 5,0,0.0269911,0.2347719,326,0.459770115,0.578947368,0.41509434,0.483516484
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.597701149,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,33,109.6659951,1119.734871,350,0.597701149,1,0.339622642,0.507042254
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.827586207,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,23,74.5239715,744.3092532,205,0.712643678,0.868421053,0.622641509,0.725274725
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.597701149,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,3,9.41171,96.5787269,372,0.551724138,0.888888889,0.301886792,0.450704225
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,27/07/2023,0.827586207,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,2,6.0876246,61.7625493,216,0.689655172,0.842105263,0.603773585,0.703296703
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.61627907,dt,18,depth = 10 and min_smaple = 50,0,0.0909058,0.5631683,341,0.593023256,0.944444444,0.333333333,0.492753623
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.848837209,dt,38,depth = 10 and min_smaple = 50,0,0.0916674,0.5675785,218,0.662790698,0.789473684,0.588235294,0.674157303
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.61627907,rf,18,depth = 10 and min_smaple = 15,0,1.4767463,8.5666058,330,0.61627907,1,0.352941176,0.52173913
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.848837209,rf,38,depth = 3 and min_smaple = 5,0,0.5770122,8.5984633,207,0.686046512,0.815789474,0.607843137,0.696629213
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.61627907,cs,18,depth = 3 and min_smaple = 5,0,0.0266342,0.2335269,418,0.430232558,0.555555556,0.196078431,0.289855072
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.848837209,cs,38,depth = 3 and min_smaple = 5,0,0.0260886,0.2430999,306,0.476744186,0.578947368,0.431372549,0.494382022
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.61627907,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,34,113.6529142,1173.598105,363,0.546511628,0.833333333,0.294117647,0.434782609
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.848837209,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,24,79.6705389,803.0424592,196,0.709302326,0.842105263,0.62745098,0.719101124
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.61627907,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,3,9.3217394,92.401,374,0.523255814,0.777777778,0.274509804,0.405797101
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,28/07/2023,0.848837209,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,2,6.0499824,60.0678355,240,0.61627907,0.736842105,0.549019608,0.629213483
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.977011494,dt,18,depth = 5 and min_smaple = 5,0,0.053002,0.5707434,75,0.862068966,0.722222222,0.65,0.684210526
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.793103448,dt,38,depth = 5 and min_smaple = 5,0,0.0551326,0.5713476,18,0.793103448,0.526315789,1,0.689655172
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.977011494,rf,18,depth = 10 and min_smaple = 5,0,1.5749908,8.645317,64,0.885057471,0.777777778,0.7,0.736842105
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.793103448,rf,38,depth = 10 and min_smaple = 5,0,1.5477766,8.648782,29,0.770114943,0.5,0.95,0.655172414
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.977011494,cs,18,depth = 3 and min_smaple = 5,0,0.0270011,0.2377826,141,0.724137931,0.388888889,0.35,0.368421053
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.793103448,cs,38,depth = 3 and min_smaple = 5,0,0.0265402,0.2359776,150,0.517241379,0.210526316,0.4,0.275862069
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.977011494,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,9,29.1185935,338.7617568,108,0.793103448,0.555555556,0.5,0.526315789
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.793103448,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,5,17.3070813,163.5927446,18,0.793103448,0.526315789,1,0.689655172
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.977011494,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,1,2.4066443,22.7675009,130,0.747126437,0.444444444,0.4,0.421052632
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,29/07/2023,0.793103448,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,1,2.4565737,22.8530781,106,0.609195402,0.315789474,0.6,0.413793103
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.83908046,dt,18,depth = 10 and min_smaple = 15,0,0.1032211,0.5673867,195,0.724137931,0.722222222,0.40625,0.52
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.931034483,dt,38,depth = 10 and min_smaple = 15,0,0.1029523,0.5669992,105,0.724137931,0.605263158,0.71875,0.657142857
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.83908046,rf,18,depth = 10 and min_smaple = 5,0,1.5802081,8.6140757,206,0.701149425,0.666666667,0.375,0.48
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.931034483,rf,38,depth = 10 and min_smaple = 5,0,1.5757678,8.5902744,127,0.67816092,0.552631579,0.65625,0.6
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.83908046,cs,18,depth = 3 and min_smaple = 5,0,0.0278478,0.2371018,261,0.586206897,0.388888889,0.21875,0.28
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.931034483,cs,38,depth = 3 and min_smaple = 5,0,0.0260629,0.2323994,226,0.471264368,0.315789474,0.375,0.342857143
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.83908046,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,32,105.7603032,1087.585607,239,0.632183908,0.5,0.28125,0.36
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.931034483,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,22,70.2003065,719.472844,171,0.586206897,0.447368421,0.53125,0.485714286
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.83908046,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,3,9.5032516,91.3710329,217,0.67816092,0.611111111,0.34375,0.44
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,30/07/2023,0.931034483,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,2,5.9191529,58.5554988,193,0.540229885,0.394736842,0.46875,0.428571429
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.697674419,dt,18,depth = 10 and min_smaple = 15,0,0.1037034,0.5580802,315,0.581395349,0.722222222,0.295454545,0.419354839
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.930232558,dt,38,depth = 10 and min_smaple = 15,0,0.1017949,0.5607303,170,0.697674419,0.736842105,0.636363636,0.682926829
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.697674419,rf,18,depth = 3 and min_smaple = 5,0,0.5878097,8.6696162,271,0.674418605,0.944444444,0.386363636,0.548387097
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.930232558,rf,38,depth = 3 and min_smaple = 50,0,0.5990614,8.7098425,181,0.674418605,0.710526316,0.613636364,0.658536585
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.697674419,cs,18,depth = 3 and min_smaple = 5,0,0.0260762,0.2299026,348,0.511627907,0.555555556,0.227272727,0.322580645
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.930232558,cs,38,depth = 3 and min_smaple = 5,0,0.0252632,0.2270127,269,0.488372093,0.5,0.431818182,0.463414634
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.697674419,AdaCSL_WRC,18,depth = 3 and min_smaple = 5,25,80.6569317,814.200529,315,0.581395349,0.722222222,0.295454545,0.419354839
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.930232558,AdaCSL_WRC,38,depth = 3 and min_smaple = 5,21,66.6109707,669.936184,214,0.604651163,0.631578947,0.545454545,0.585365854
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.697674419,cfn=cfp AdaCSL_WRC,18,depth = 3 and min_smaple = 5,2,5.9196453,57.4855999,304,0.604651163,0.777777778,0.318181818,0.451612903
87d6379b-ce4c-453e-8803-964c645803e6,867c4a38-0d75-46ff-a4c2-f44cb63be2c9,31/07/2023,0.930232558,cfn=cfp AdaCSL_WRC,38,depth = 3 and min_smaple = 5,2,6.0140808,57.4405551,236,0.558139535,0.578947368,0.5,0.536585366
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,dt,2,depth = 3 and min_smaple = 5,0,0.0326231,0.5474471,180,0.379310345,1,0.1,0.181818182
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,dt,17,depth = 3 and min_smaple = 5,0,0.0336186,0.5533218,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,rf,2,depth = 3 and min_smaple = 5,0,0.6153265,8.857476,180,0.379310345,1,0.1,0.181818182
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,rf,17,depth = 3 and min_smaple = 5,0,0.5937166,8.9071675,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,cs,2,depth = 3 and min_smaple = 5,0,0.0257235,0.2411667,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,cs,17,depth = 3 and min_smaple = 5,0,0.0266366,0.2405371,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,AdaCSL_WRC,2,depth = 3 and min_smaple = 5,37,125.9094683,1291.42987,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,AdaCSL_WRC,17,depth = 3 and min_smaple = 5,16,51.2821003,506.4988367,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.379310345,cfn=cfp AdaCSL_WRC,2,depth = 3 and min_smaple = 5,3,10.1844318,102.2048152,191,0.310344828,0.5,0.05,0.090909091
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,25/07/2023,0.896551724,cfn=cfp AdaCSL_WRC,17,depth = 3 and min_smaple = 5,1,3.1734522,29.6305194,74,0.620689655,0.764705882,0.65,0.702702703
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,dt,2,depth = 3 and min_smaple = 5,0,0.0342897,0.5558286,220,0.24137931,1,0.083333333,0.153846154
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,dt,17,depth = 3 and min_smaple = 5,0,0.0330331,0.553638,81,0.689655172,0.941176471,0.666666667,0.780487805
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,rf,2,depth = 3 and min_smaple = 15,0,0.5854891,8.6746876,220,0.24137931,1,0.083333333,0.153846154
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,rf,17,depth = 5 and min_smaple = 5,0,0.8413366,8.6545883,92,0.620689655,0.882352941,0.625,0.731707317
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,cs,2,depth = 3 and min_smaple = 5,0,0.027203,0.2381159,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,cs,17,depth = 3 and min_smaple = 5,0,0.025437,0.2328997,103,0.551724138,0.823529412,0.583333333,0.682926829
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,AdaCSL_WRC,2,depth = 3 and min_smaple = 5,34,111.7527377,1142.992942,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,AdaCSL_WRC,17,depth = 3 and min_smaple = 5,18,56.3035927,556.9524415,92,0.620689655,0.882352941,0.625,0.731707317
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.24137931,cfn=cfp AdaCSL_WRC,2,depth = 3 and min_smaple = 5,3,10.5322558,105.5536908,231,0.172413793,0.5,0.041666667,0.076923077
1bab4460-7beb-43b7-be4b-5eb31afe1ba4,a12f6956-9aca-4550-8caa-2e2f9532674c,26/07/2023,0.75862069,cfn=cfp AdaCSL_WRC,17,depth = 3 and min_smaple = 5,1,3.5260003,34.3926252,92,0.620689655,0.882352941,0.625,0.731707317
